time,cmd_dq,state_dq
0,0,0
0.01,0.188372,-0
0.02,0.376,0.0332233
0.03,0.562144,0.0598019
0.04,0.74607,0.126248
0.05,0.927051,0.312299
0.06,1.10437,0.352167
0.07,1.27734,0.657821
0.08,1.44526,0.784069
0.09,1.60748,1.34886
0.1,1.76336,1.1163
0.11,1.91227,1.21597
0.12,2.05364,1.46182
0.13,2.18691,1.98011
0.14,2.31154,1.92031
0.15,2.42705,1.90702
0.16,2.53298,2.03326
0.17,2.62892,1.88044
0.18,2.71448,2.28576
0.19,2.78933,2.27247
0.2,2.85317,2.35221
0.21,2.90575,2.73095
0.22,2.94686,2.82398
0.23,2.97634,3.02332
0.24,2.99408,2.97681
0.25,3,2.57813
0.26,2.99408,2.6047
0.27,2.97634,2.64457
0.28,2.94686,2.57813
0.29,2.90575,2.63128
0.3,2.85317,2.5449
0.31,2.78933,2.51832
0.32,2.71448,2.81069
0.33,2.62892,2.82398
0.34,2.53298,2.65786
0.35,2.42705,2.3655
0.36,2.31154,2.45188
0.37,2.18691,2.51832
0.38,2.05364,2.08642
0.39,1.91227,1.93359
0.4,1.76336,1.85386
0.41,1.60748,1.70103
0.42,1.44526,1.70103
0.43,1.27734,1.71432
0.44,1.10437,1.42196
0.45,0.927051,1.40867
0.46,0.74607,0.850516
0.47,0.562144,0.657821
0.48,0.376,0.631242
0.49,0.188372,0.558151
0.5,-3.62941e-15,0.0465126
0.51,-0.188372,-0.0930252
0.52,-0.376,-0.132893
0.53,-0.562144,0.0332233
0.54,-0.74607,-0.0132893
0.55,-0.927051,-0.245852
0.56,-1.10437,-0.398679
0.57,-1.27734,-0.458481
0.58,-1.44526,-0.804003
0.59,-1.60748,-1.00999
0.6,-1.76336,-1.03657
0.61,-1.91227,-1.16281
0.62,-2.05364,-1.40202
0.63,-2.18691,-1.46847
0.64,-2.31154,-1.77412
0.65,-2.42705,-2.19274
0.66,-2.53298,-1.73425
0.67,-2.62892,-2.15287
0.68,-2.71448,-2.2326
0.69,-2.78933,-2.38543
0.7,-2.85317,-2.55819
0.71,-2.90575,-2.58477
0.72,-2.94686,-2.44523
0.73,-2.97634,-2.66451
0.74,-2.99408,-2.6778
0.75,-3,-2.83062
0.76,-2.99408,-2.69109
0.77,-2.97634,-2.69109
0.78,-2.94686,-2.55819
0.79,-2.90575,-2.71102
0.8,-2.85317,-2.57148
0.81,-2.78933,-2.37214
0.82,-2.71448,-2.51168
0.83,-2.62892,-2.53826
0.84,-2.53298,-2.51168
0.85,-2.42705,-2.31898
0.86,-2.31154,-2.15287
0.87,-2.18691,-2.25254
0.88,-2.05364,-2.06649
0.89,-1.91227,-2.31898
0.9,-1.76336,-1.56814
0.91,-1.60748,-1.72097
0.92,-1.44526,-1.72097
0.93,-1.27734,-1.6213
0.94,-1.10437,-1.34222
0.95,-0.927051,-1.34222
0.96,-0.74607,-0.843871
0.97,-0.562144,-0.637887
0.98,-0.376,-0.750846
0.99,-0.188372,-0.345522
1,1.25879e-14,-0.0664465
1.01,0.188372,0.112959
1.02,0.376,0.126248
1.03,0.562144,0.0730912
1.04,0.74607,0.212629
1.05,0.927051,0.558151
1.06,1.10437,0.478415
1.07,1.27734,0.617953
1.08,1.44526,0.810648
1.09,1.60748,1.38209
1.1,1.76336,1.15617
1.11,1.91227,1.28242
1.12,2.05364,1.40867
1.13,2.18691,1.58807
1.14,2.31154,1.96682
1.15,2.42705,1.81399
1.16,2.53298,2.15951
1.17,2.62892,2.27247
1.18,2.71448,2.46517
1.19,2.78933,2.31234
1.2,2.85317,2.29905
1.21,2.90575,2.67115
1.22,2.94686,2.75753
1.23,2.97634,2.96352
1.24,2.99408,2.96352
1.25,3,2.6047
1.26,2.99408,2.57813
1.27,2.97634,2.59142
1.28,2.94686,2.59142
1.29,2.90575,2.5449
1.3,2.85317,2.64457
1.31,2.78933,2.63128
1.32,2.71448,2.49175
1.33,2.62892,2.82398
1.34,2.53298,2.75753
1.35,2.42705,2.31234
1.36,2.31154,2.51832
1.37,2.18691,2.49175
1.38,2.05364,1.98011
1.39,1.91227,1.98011
1.4,1.76336,1.98011
1.41,1.60748,1.57478
1.42,1.44526,1.62794
1.43,1.27734,1.7409
1.44,1.10437,1.29571
1.45,0.927051,1.24255
1.46,0.74607,0.823937
1.47,0.562144,0.644531
1.48,0.376,0.598019
1.49,0.188372,0.697689
1.5,-2.02141e-14,0.0863805
1.51,-0.188372,-0.106314
1.52,-0.376,-0.119604
1.53,-0.562144,0.0332233
1.54,-0.74607,-0.0797359
1.55,-0.927051,-0.28572
1.56,-1.10437,-0.358811
1.57,-1.27734,-0.458481
1.58,-1.44526,-0.843871
1.59,-1.60748,-0.95683
1.6,-1.76336,-0.996698
1.61,-1.91227,-1.14953
1.62,-2.05364,-1.36215
1.63,-2.18691,-1.45518
1.64,-2.31154,-1.80735
1.65,-2.42705,-2.13958
1.66,-2.53298,-1.74754
1.67,-2.62892,-2.17945
1.68,-2.71448,-2.06649
1.69,-2.78933,-2.17945
1.7,-2.85317,-2.53826
1.71,-2.90575,-2.45852
1.72,-2.94686,-2.52497
1.73,-2.97634,-2.75089
1.74,-2.99408,-2.6778
1.75,-3,-2.75089
1.76,-2.99408,-2.58477
1.77,-2.97634,-2.6778
1.78,-2.94686,-2.55819
1.79,-2.90575,-2.71102
1.8,-2.85317,-2.53826
1.81,-2.78933,-2.44523
1.82,-2.71448,-2.51168
1.83,-2.62892,-2.4851
1.84,-2.53298,-2.49839
1.85,-2.42705,-2.13958
1.86,-2.31154,-2.16616
1.87,-2.18691,-2.25254
1.88,-2.05364,-2.0532
1.89,-1.91227,-2.26583
1.9,-1.76336,-1.54156
1.91,-1.60748,-1.84721
1.92,-1.44526,-1.73425
1.93,-1.27734,-1.65452
1.94,-1.10437,-1.50169
1.95,-0.927051,-1.28906
1.96,-0.74607,-1.00999
1.97,-0.562144,-0.651176
1.98,-0.376,-0.764135
1.99,-0.188372,-0.219274
2,2.51758e-14,-0.106314
2.01,0.188372,-0.119604
2.02,0.376,0.0730912
2.03,0.562144,0.0996698
2.04,0.74607,0.0996698
2.05,0.927051,0.352167
2.06,1.10437,0.810648
2.07,1.27734,0.644531
2.08,1.44526,0.963475
2.09,1.60748,0.936896
2.1,1.76336,1.02992
2.11,1.91227,1.26913
2.12,2.05364,1.50834
2.13,2.18691,1.42196
2.14,2.31154,1.94688
2.15,2.42705,1.9934
2.16,2.53298,1.79406
2.17,2.62892,2.37879
2.18,2.71448,1.93359
2.19,2.78933,2.45188
2.2,2.85317,2.50503
2.21,2.90575,2.68444
2.22,2.94686,2.4253
2.23,2.97634,2.50503
2.24,2.99408,2.61799
2.25,3,2.6047
2.26,2.99408,2.77082
2.27,2.97634,2.73095
2.28,2.94686,2.73095
2.29,2.90575,2.67115
2.3,2.85317,2.82398
2.31,2.78933,2.77082
2.32,2.71448,2.73095
2.33,2.62892,2.61799
2.34,2.53298,2.45188
2.35,2.42705,2.51832
2.36,2.31154,2.51832
2.37,2.18691,2.14622
2.38,2.05364,1.98011
2.39,1.91227,1.78077
2.4,1.76336,2.21267
2.41,1.60748,1.62794
2.42,1.44526,1.44853
2.43,1.27734,1.24255
2.44,1.10437,1.07643
2.45,0.927051,0.950186
2.46,0.74607,1.29571
2.47,0.562144,0.724267
2.48,0.376,0.504994
2.49,0.188372,0.431903
2.5,1.77696e-13,0.544862
2.51,-0.188372,0.172761
2.52,-0.376,0.0465126
2.53,-0.562144,-0.106314
2.54,-0.74607,-0.28572
2.55,-0.927051,-0.28572
2.56,-1.10437,-0.28572
2.57,-1.27734,-0.48506
2.58,-1.44526,-0.97012
2.59,-1.60748,-1.28906
2.6,-1.76336,-1.06979
2.61,-1.91227,-1.26248
2.62,-2.05364,-1.2492
2.63,-2.18691,-1.58143
2.64,-2.31154,-1.91366
2.65,-2.42705,-1.82064
2.66,-2.53298,-2.15287
2.67,-2.62892,-1.96017
2.68,-2.71448,-2.33227
2.69,-2.78933,-2.25254
2.7,-2.85317,-2.35885
2.71,-2.90575,-2.55819
2.72,-2.94686,-2.61135
2.73,-2.97634,-2.76418
2.74,-2.99408,-2.66451
2.75,-3,-2.83062
2.76,-2.99408,-2.6778
2.77,-2.97634,-2.83062
2.78,-2.94686,-2.53826
2.79,-2.90575,-2.57148
